Area	Gender	ID (filenames - use ; for multiple items)	Item	Design	Category	Color (use ; for multiple colors)	Perfect Match	Terrible Match	color match	design match	Icon	Display Name		Image Link	
Top	Male	Male_Shirt_01_Torso; Male_Shirt_01_Arm_Top; Male_Shirt_01_Arm_Bot	Blue Solid Button Up	Button Top	Business Casual	Blue		Shorts	White;Brown;Black;Red;Green	Slacks	Male_Shirt_01_Icon	Blue Solid Button Up		http://www.onestyleblog.com/wp-content/uploads/2014/05/18/0/145-Report-Collection-men-s-blue-long-sleeve-solid-stretch-button-down-shirt-1.jpg	
Top	Male	Male_Shirt_02_Torso; Male_Shirt_02_Arm_Top; Male_Shirt_02_Arm_Bot	Striped Button Up	Button Top	Business Casual	Blue;White			Khaki; Black	Slacks	Male_Shirt_02_Icon	Striped Button Up		http://cdn.fluidretail.net/customers/c1500/W34052/W34052_pdp/zoom_variation_433_view_A_2192x2200.jpg	
Top	Male	Male_Shirt_10_Torso; Male_Shirt_10_Arm_Top; Male_Shirt_10_Arm_Bot	Blue Polka Dot Button Up	Modern;Smart;Suit	Business Casual	Blue				Modern;Smart	Male_Shirt_10_Icon	Blue Polka Dot Button Up		http://www.axeaboutme.com/wp-content/uploads/2012/11/Polka-Dot-Button-Down.jpg	
Top	Male	Male_Shirt_08_Torso; Male_Shirt_08_Arm_Top; Male_Shirt_08_Arm_Bot	Gray Sweater Vest	Smart	Business Casual	Gray			White;Black;-Gray;Blue	Smart	Male_Shirt_08_Icon	Gray Sweater Vest		http://www.rustyzipper.com/full/163300L.jpg	
Top	Male	Male_Shirt_09_Torso; Male_Shirt_09_Arm_Top; Male_Shirt_09_Arm_Bot	Navy Sweater	Smart	Casual	Navy				Smart	Male_Shirt_09_Icon	Navy Sweater		http://media.bachrach.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blake_v-neck_men_s_sweater_-_navy_-_bslv2704.jpg	
Top	Male	Male_Shirt_18_Torso; Male_Shirt_18_Arm_Top; Male_Shirt_18_Arm_Bot	Blue Suit Jacket and Button Up	Classic;Suit	Business Casual	Blue;Black;Brown	Blue Suit Pants	Cargo Shorts		Classic	Male_Shirt_18_Icon	Blue Suit Jacket and Button Up		http://cdn.http.businesswear.com.au/images/D/pj921_bblk_1-1345564170.jpg	http://www.moss.co.uk/images/original/964544115_01.jpg
Top	Male	Male_Shirt_06_Torso; Male_Shirt_06_Arm_Top; Male_Shirt_06_Arm_Bot	Brown Sports Coat	Modern;Smart;Suit	Business Casual; Business Professional				Brown;White;Navy;Gray;Green	Modern;Smart	Male_Shirt_06_Icon	Brown Sports Coat		http://images.menswearhouse.com/is/image/TMW/MW40_1033_CALVIN_KLEIN_SPORT_COATS_VESTS_BROWN_SOLID_SET?$40MainPDP$	
Top	Male	Male_Shirt_15_Torso; Male_Shirt_15_Arm_Top; Male_Shirt_15_Arm_Bot	Tweed Coat and Blue Oxford Shirt	Coat;Modern	Business Casual; Business Professional	Gray;Blue			Brown;Black	Modern;Classic	Male_Shirt_15_Icon	Tweed Coat and Blue Oxford Shirt		http://d30fnpgn92mkei.cloudfront.net/SA040GRY_c.jpg	
Top	Male	Male_Shirt_07_Torso; Male_Shirt_07_Arm_Top; Male_Shirt_07_Arm_Bot	Black Tuxedo Vest	Classic	Business Professional	Black			Black	Classic	Male_Shirt_07_Icon	Black Tuxedo Vest	1.2	http://images.menswearhouse.com/is/image/TMW/MW40_3042_CALVIN_KLEIN_SUITS_SUIT_SEPARATES_TUXEDO_BLACK_SET?$40MainPDP$	
Top	Male	Male_Shirt_13_Torso; Male_Shirt_13_Arm_Top; Male_Shirt_13_Arm_Bot	Checkered Suit Jacket and Tie	Suit;Modern	Business Professional	Gray;Red;White			Brown;Black;Navy	Modern;Classic	Male_Shirt_13_Icon	Checkered Suit Jacket and Tie			
Top	Male	Male_Shirt_14_Torso; Male_Shirt_14_Arm_Top; Male_Shirt_14_Arm_Bot	Striped Suit Jacket and Tie	Suit;Modern	Business Professional	Navy			Brown;Black	Modern;Classic	Male_Shirt_14_Icon	Striped Suit Jacket and Tie		http://cdn2-b.examiner.com/sites/default/files/styles/image_content_width/hash/4d/12/4d12096b78d882e2c5da85e149cc5257.jpg?itok=4lkfwSX2	
Top	Male	Male_Shirt_12_Torso	Rocker Vest	Rock	Informal	Black				Rock	Male_Shirt_12_Icon	Rocker Vest		http://74.86.93.54/product_image.php?imageid=940	
Shoes	Male	Male_Shoe_07	Red Sandals	Comfy	Informal	Red			All	Comfy;T-shirt	Male_Shoe_07_Icon	Red Sandals			
Shoes	Male	Male_Shoe_06	White Basketball Shoes	Sports	Casual	White			All	Sports	Male_Shoe_06_Icon	White Basketball Shoes			
Shoes	Male	Male_Shoe_08	Black Hightop Sneakers - M	Sports	Informal	Black			All	Sports;T-shirt	Male_Shoe_08_Icon	Black Hightop Sneakers			
Shoes	Male	Male_Shoe_01	Black Loafers	Classic	Business Casual				All	Classic; Slacks	Male_Shoe_01_Icon	Black Loafers		https://upload.wikimedia.org/wikipedia/en/7/71/A_pair_of_Blue_branded_black_loafers.JPG	
Shoes	Male	Male_Shoe_05	Tan Laced Loafers	Prep	Casual; Business Casual	Brown			Brown;Gray;Blue;Red;Green;White	Prep	Male_Shoe_05_Icon	Tan Laced Loafers		http://static1.1.sqspcdn.com/static/f/554392/8427836/1283740850833/sperry2.jpg?token=w1ySnTVfu15%2BlYA5y2CbaZN7KQs%3D	
Shoes	Male	Male_Shoe_02	Brown Wingtip Shoes		Business Casual; Business Professional	Brown		black top	Brown;Gray;Blue	Classic	Male_Shoe_02_Icon	Brown Wingtip Shoes		http://dynamic.forzieri.com/is/image/Forzieri/354x454/me43118-013-1x.jpg	
Shoes	Male	Male_Shoe_03	Black Oxford Dress Shoes	Classic	Business Professional	Black			All	Classic	Male_Shoe_03_Icon	Black Oxford Dress Shoes		http://ecx.images-amazon.com/images/I/41QGYp1KPiL.jpg	
Shoes	Male	Male_Shoe_04	Black and White Wingtip Shoes	Formal	Business Professional	Black;White			Black	Formal	Male_Shoe_04_Icon	Black and White Wingtip Shoes		http://www.mensusa.com/images/image10899.jpg	
Wrist	Male	Male_Watch_02	Gold Watch	Suit	Business Casual; Business Professional	Gold				Suit	Male_Watch_02_Icon	Gold Watch			
Wrist	Male	Male_Watch_03	Sports Watch	Sports	Casual	Black				Sports	Male_Watch_03_Icon	Sports Watch			
